* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
,,,관할시도외_기타,511,513,580,1108,206,318,466,733,444,497,570,929,1052,374
,중구,,합계,118,125,155,88,72,73,136,186,108,146,167,334,146,41
,,,관할시군구내,38,36,38,33,28,25,34,52,28,38,46,82,34,12
,,,관할시도내,66,75,69,44,37,40,77,108,65,86,98,200,83,22
,,,관할시도외_서울,1,3,3,2,1,3,0,1,1,2,0,4,6,3
,,,관할시도외_기타,13,11,45,9,6,5,25,25,14,20,23,48,23,4
,동구,,합계,497,485,597,383,286,318,466,556,533,563,573,930,927,303
,,,관할시군구내,289,241,350,227,164,195,257,287,298,319,316,460,446,157
,,,관할시도내,121,148,148,98,86,78,132,157,157,155,175,282,288,86
,,,관할시도외_서울,14,7,10,3,2,3,8,16,10,9,9,18,15,10
,,,관할시도외_기타,73,89,89,55,34,42,69,96,68,80,73,170,178,50
,서구,,합계,149,143,150,101,90,101,179,191,104,106,89,139,169,64
,,,관할시군구내,50,64,68,52,48,55,100,81,50,48,38,48,58,29
,,,관할시도내,54,57,63,42,35,39,58,82,33,40,37,61,77,12
,,,관할시도외_서울,2,2,2,0,0,1,4,5,3,1,0,1,3,0
,,,관할시도외_기타,43,20,17,7,7,6,17,23,18,17,14,29,31,23
,남구,,합계,92,96,102,91,70,72,145,169,108,117,95,174,195,48
,,,관할시군구내,39,31,42,42,25,33,63,73,49,52,48,67,59,21
,,,관할시도내,44,49,47,40,39,31,71,78,45,57,36,83,102,21
,,,관할시도외_서울,0,1,1,2,2,1,3,3,0,1,2,3,7,0
,,,관할시도외_기타,9,15,12,7,4,7,8,15,14,7,9,21,27,6
,북구,,합계,648,637,858,593,396,553,739,808,595,704,701,1322,1590,483
,,,관할시군구내,412,370,501,370,255,320,478,472,336,420,443,749,866,249
,,,관할시도내,159,170,206,161,106,128,178,200,191,207,176,372,480,161
,,,관할시도외_서울,7,4,3,3,1,43,7,49,4,5,6,16,21,4
,,,관할시도외_기타,70,93,148,59,34,62,76,87,64,72,76,185,223,69
